s_tp,s_fp,s_tn,s_fn,a_tp,a_fp,a_tn,a_fn,zona
135,7,8,0,132,0,15,3,casa_sopocachi
137,12,1,0,136,2,11,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
101,8,41,0,101,3,46,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
137,13,0,0,137,4,9,0,casa_sopocachi
124,11,15,0,121,0,26,3,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
142,2,6,0,141,0,8,1,casa_sopocachi
117,7,26,0,116,1,32,1,casa_sopocachi
134,15,1,0,134,1,15,0,casa_sopocachi
137,11,2,0,136,1,12,1,casa_sopocachi
138,11,1,0,135,0,12,3,casa_sopocachi
104,5,41,0,104,0,46,0,casa_sopocachi
143,2,5,0,142,0,7,1,casa_sopocachi
119,9,22,0,119,3,28,0,casa_sopocachi
55,32,63,0,51,9,86,4,casa_sopocachi
68,10,72,0,67,0,82,1,casa_sopocachi
123,14,13,0,121,3,24,2,casa_sopocachi
52,11,87,0,52,2,96,0,casa_sopocachi
141,4,5,0,141,2,7,0,casa_sopocachi
134,12,4,0,133,0,16,1,casa_sopocachi
139,10,1,0,139,1,10,0,casa_sopocachi
136,9,5,0,136,1,13,0,casa_sopocachi
134,9,7,0,132,0,16,2,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
79,16,55,0,76,0,71,3,casa_sopocachi
130,14,6,0,130,1,19,0,casa_sopocachi
123,15,12,0,122,0,27,1,casa_sopocachi
102,22,26,0,102,1,47,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
130,15,5,0,127,4,16,3,casa_sopocachi
129,15,6,0,125,0,21,4,casa_sopocachi
125,20,5,0,125,2,23,0,casa_sopocachi
90,6,54,0,90,2,58,0,casa_sopocachi
137,11,2,0,137,2,11,0,casa_sopocachi
141,5,4,0,141,1,8,0,casa_sopocachi
133,14,3,0,131,0,17,2,casa_sopocachi
141,3,6,0,140,0,9,1,casa_sopocachi
137,11,2,0,137,0,13,0,casa_sopocachi
108,9,33,0,107,1,41,1,casa_sopocachi
142,4,4,0,141,0,8,1,casa_sopocachi
132,8,10,0,132,1,17,0,casa_sopocachi
132,17,1,0,131,0,18,1,casa_sopocachi
136,9,5,0,135,0,14,1,casa_sopocachi
80,31,39,0,77,4,66,3,casa_sopocachi
89,5,56,0,87,0,61,2,casa_sopocachi
134,10,6,0,133,2,14,1,casa_sopocachi
128,13,9,0,122,1,21,6,casa_sopocachi
140,3,7,0,140,1,9,0,casa_sopocachi
132,12,6,0,132,1,17,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
107,10,33,0,107,0,43,0,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
141,7,2,0,141,1,8,0,casa_sopocachi
97,18,35,0,90,2,51,7,casa_sopocachi
112,31,7,0,110,0,38,2,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
137,8,5,0,137,1,12,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
139,10,1,0,139,1,10,0,casa_sopocachi
140,6,4,0,140,0,10,0,casa_sopocachi
136,11,3,0,136,0,14,0,casa_sopocachi
120,12,18,0,119,0,30,1,casa_sopocachi
109,29,12,0,107,3,38,2,casa_sopocachi
123,26,1,0,121,0,27,2,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
140,4,6,0,139,0,10,1,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
138,7,5,0,137,0,12,1,casa_sopocachi
139,2,9,0,138,0,11,1,casa_sopocachi
143,3,4,0,143,1,6,0,casa_sopocachi
144,3,3,0,144,0,6,0,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
127,9,14,0,127,0,23,0,casa_sopocachi
137,11,2,0,135,0,13,2,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
129,8,13,0,127,0,21,2,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
138,9,3,0,138,1,11,0,casa_sopocachi
135,11,4,0,132,2,13,3,casa_sopocachi
88,8,54,0,87,1,61,1,casa_sopocachi
115,19,16,0,115,1,34,0,casa_sopocachi
