s_tp,s_fp,s_tn,s_fn,a_tp,a_fp,a_tn,a_fn,zona
150,0,0,0,150,0,0,0,colegio_miraflores
134,6,10,0,134,0,16,0,colegio_miraflores
135,4,11,0,135,0,15,0,colegio_miraflores
136,11,3,0,135,0,14,1,colegio_miraflores
137,9,4,0,137,1,12,0,colegio_miraflores
133,11,6,0,131,0,17,2,colegio_miraflores
136,11,3,0,136,1,13,0,colegio_miraflores
133,12,5,0,133,2,15,0,colegio_miraflores
121,20,9,0,118,1,28,3,colegio_miraflores
135,4,11,0,135,0,15,0,colegio_miraflores
126,14,10,0,126,1,23,0,colegio_miraflores
135,10,5,0,133,0,15,2,colegio_miraflores
96,16,38,0,96,1,53,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
136,11,3,0,136,1,13,0,colegio_miraflores
100,14,36,0,100,1,49,0,colegio_miraflores
91,10,49,0,90,0,59,1,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
87,12,51,0,87,1,62,0,colegio_miraflores
78,33,39,0,77,1,71,1,colegio_miraflores
136,11,3,0,136,2,12,0,colegio_miraflores
138,4,8,0,137,0,12,1,colegio_miraflores
133,6,11,0,132,0,17,1,colegio_miraflores
134,12,4,0,134,0,16,0,colegio_miraflores
33,64,53,0,33,9,108,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
139,10,1,0,139,0,11,0,colegio_miraflores
139,5,6,0,139,1,10,0,colegio_miraflores
140,10,0,0,139,3,7,1,colegio_miraflores
137,5,8,0,137,0,13,0,colegio_miraflores
99,20,31,0,99,0,51,0,colegio_miraflores
138,10,2,0,138,0,12,0,colegio_miraflores
125,9,16,0,125,1,24,0,colegio_miraflores
137,11,2,0,137,1,12,0,colegio_miraflores
112,16,22,0,111,0,38,1,colegio_miraflores
126,19,5,0,126,3,21,0,colegio_miraflores
138,4,8,0,137,0,12,1,colegio_miraflores
136,11,3,0,135,0,14,1,colegio_miraflores
138,6,6,0,138,0,12,0,colegio_miraflores
87,25,38,0,85,1,62,2,colegio_miraflores
139,4,7,0,138,0,11,1,colegio_miraflores
135,9,6,0,135,0,15,0,colegio_miraflores
135,6,9,0,135,0,15,0,colegio_miraflores
120,24,6,0,120,0,30,0,colegio_miraflores
36,51,63,0,34,4,110,2,colegio_miraflores
121,7,22,0,121,2,27,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
134,5,11,0,134,1,15,0,colegio_miraflores
135,11,4,0,135,1,14,0,colegio_miraflores
133,10,7,0,133,0,17,0,colegio_miraflores
114,14,22,0,113,7,29,1,colegio_miraflores
137,11,2,0,136,0,13,1,colegio_miraflores
125,17,8,0,125,0,25,0,colegio_miraflores
130,7,13,0,130,0,20,0,colegio_miraflores
100,9,41,0,99,0,50,1,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
134,13,3,0,134,0,16,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
135,12,3,0,135,1,14,0,colegio_miraflores
138,8,4,0,137,0,12,1,colegio_miraflores
82,22,46,0,82,0,68,0,colegio_miraflores
89,30,31,0,87,5,56,2,colegio_miraflores
136,5,9,0,136,1,13,0,colegio_miraflores
133,5,12,0,132,0,17,1,colegio_miraflores
137,3,10,0,137,0,13,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
136,12,2,0,136,0,14,0,colegio_miraflores
132,13,5,0,131,0,18,1,colegio_miraflores
138,6,6,0,138,0,12,0,colegio_miraflores
134,14,2,0,134,1,15,0,colegio_miraflores
137,5,8,0,137,1,12,0,colegio_miraflores
93,9,48,0,90,0,57,3,colegio_miraflores
133,5,12,0,133,1,16,0,colegio_miraflores
135,6,9,0,134,0,15,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,5,10,0,135,1,14,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,11,4,0,135,0,15,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
20,15,115,0,20,1,129,0,colegio_miraflores
131,12,7,0,130,0,19,1,colegio_miraflores
136,9,5,0,136,0,14,0,colegio_miraflores
110,11,29,0,109,1,39,1,colegio_miraflores
97,11,42,0,95,1,52,2,colegio_miraflores
104,20,26,0,103,1,45,1,colegio_miraflores
136,9,5,0,134,0,14,2,colegio_miraflores
137,10,3,0,137,1,12,0,colegio_miraflores
111,13,26,0,110,2,37,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,11,1,0,138,0,12,0,colegio_miraflores
83,9,58,0,82,1,66,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
123,19,8,0,123,1,26,0,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
135,5,10,0,135,0,15,0,colegio_miraflores
94,14,42,0,93,0,56,1,colegio_miraflores
112,12,26,0,112,1,37,0,colegio_miraflores
112,20,18,0,112,1,37,0,colegio_miraflores
138,10,2,0,138,0,12,0,colegio_miraflores
128,15,7,0,128,1,21,0,colegio_miraflores
138,7,5,0,137,0,12,1,colegio_miraflores
87,14,49,0,87,2,61,0,colegio_miraflores
137,10,3,0,136,0,13,1,colegio_miraflores
134,16,0,0,131,0,16,3,colegio_miraflores
139,3,8,0,139,1,10,0,colegio_miraflores
139,8,3,0,139,0,11,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
52,15,83,0,50,0,98,2,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
134,14,2,0,134,1,15,0,colegio_miraflores
141,3,6,0,140,0,9,1,colegio_miraflores
135,8,7,0,135,1,14,0,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
135,5,10,0,134,0,15,1,colegio_miraflores
134,6,10,0,134,0,16,0,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
78,10,62,0,78,0,72,0,colegio_miraflores
137,5,8,0,137,0,13,0,colegio_miraflores
137,5,8,0,136,0,13,1,colegio_miraflores
134,13,3,0,134,1,15,0,colegio_miraflores
136,7,7,0,136,0,14,0,colegio_miraflores
14,22,114,0,14,0,136,0,colegio_miraflores
120,14,16,0,120,1,29,0,colegio_miraflores
133,15,2,0,133,0,17,0,colegio_miraflores
97,8,45,0,96,1,52,1,colegio_miraflores
46,41,63,0,46,0,104,0,colegio_miraflores
106,12,32,0,106,0,44,0,colegio_miraflores
136,5,9,0,136,1,13,0,colegio_miraflores
140,3,7,0,140,0,10,0,colegio_miraflores
137,5,8,0,137,0,13,0,colegio_miraflores
93,12,45,0,93,0,57,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
124,14,12,0,123,0,26,1,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
135,12,3,0,135,1,14,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
139,4,7,0,139,1,10,0,colegio_miraflores
135,13,2,0,134,0,15,1,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
133,11,6,0,133,1,16,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
135,6,9,0,130,0,15,5,colegio_miraflores
136,6,8,0,135,0,14,1,colegio_miraflores
52,25,73,0,52,0,98,0,colegio_miraflores
127,20,3,0,126,2,21,1,colegio_miraflores
137,6,7,0,136,0,13,1,colegio_miraflores
134,8,8,0,134,0,16,0,colegio_miraflores
63,14,73,0,59,0,87,4,colegio_miraflores
138,7,5,0,138,0,12,0,colegio_miraflores
136,12,2,0,136,3,11,0,colegio_miraflores
133,15,2,0,133,2,15,0,colegio_miraflores
131,5,14,0,131,0,19,0,colegio_miraflores
62,33,55,0,62,5,83,0,colegio_miraflores
134,5,11,0,133,0,16,1,colegio_miraflores
132,7,11,0,132,3,15,0,colegio_miraflores
134,5,11,0,134,2,14,0,colegio_miraflores
137,6,7,0,136,0,13,1,colegio_miraflores
136,11,3,0,135,0,14,1,colegio_miraflores
53,61,36,0,52,7,90,1,colegio_miraflores
136,4,10,0,136,1,13,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,9,3,0,138,1,11,0,colegio_miraflores
138,5,7,0,137,1,11,1,colegio_miraflores
131,5,14,0,129,0,19,2,colegio_miraflores
137,11,2,0,137,0,13,0,colegio_miraflores
131,7,12,0,130,0,19,1,colegio_miraflores
139,4,7,0,138,0,11,1,colegio_miraflores
125,9,16,0,124,0,25,1,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
139,5,6,0,139,0,11,0,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
46,8,96,0,46,3,101,0,colegio_miraflores
140,3,7,0,140,0,10,0,colegio_miraflores
136,5,9,0,135,0,14,1,colegio_miraflores
131,16,3,0,131,1,18,0,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
136,13,1,0,136,1,13,0,colegio_miraflores
138,5,7,0,138,1,11,0,colegio_miraflores
140,3,7,0,140,0,10,0,colegio_miraflores
132,7,11,0,131,2,16,1,colegio_miraflores
137,7,6,0,136,0,13,1,colegio_miraflores
133,14,3,0,133,0,17,0,colegio_miraflores
138,4,8,0,136,0,12,2,colegio_miraflores
134,9,7,0,134,0,16,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
136,7,7,0,135,0,14,1,colegio_miraflores
57,33,60,0,57,0,93,0,colegio_miraflores
61,8,81,0,61,2,87,0,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
133,12,5,0,133,0,17,0,colegio_miraflores
131,5,14,0,130,0,19,1,colegio_miraflores
132,5,13,0,132,0,18,0,colegio_miraflores
114,18,18,0,113,2,34,1,colegio_miraflores
139,5,6,0,139,0,11,0,colegio_miraflores
130,8,12,0,130,0,20,0,colegio_miraflores
133,7,10,0,132,0,17,1,colegio_miraflores
135,11,4,0,135,1,14,0,colegio_miraflores
137,4,9,0,137,1,12,0,colegio_miraflores
108,17,25,0,108,3,39,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
137,5,8,0,137,1,12,0,colegio_miraflores
137,9,4,0,137,2,11,0,colegio_miraflores
133,10,7,0,133,1,16,0,colegio_miraflores
137,5,8,0,137,1,12,0,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
136,12,2,0,135,0,14,1,colegio_miraflores
107,18,25,0,106,0,43,1,colegio_miraflores
138,7,5,0,137,0,12,1,colegio_miraflores
137,4,9,0,137,1,12,0,colegio_miraflores
89,34,27,0,88,8,53,1,colegio_miraflores
83,55,12,0,76,3,64,7,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,12,3,0,135,1,14,0,colegio_miraflores
139,4,7,0,138,0,11,1,colegio_miraflores
136,12,2,0,136,0,14,0,colegio_miraflores
130,6,14,0,130,0,20,0,colegio_miraflores
83,59,8,0,81,5,62,2,colegio_miraflores
109,8,33,0,109,1,40,0,colegio_miraflores
135,12,3,0,133,0,15,2,colegio_miraflores
136,13,1,0,136,0,14,0,colegio_miraflores
50,85,15,0,50,0,100,0,colegio_miraflores
137,10,3,0,137,0,13,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
137,3,10,0,137,0,13,0,colegio_miraflores
116,16,18,0,113,0,34,3,colegio_miraflores
135,6,9,0,135,0,15,0,colegio_miraflores
100,7,43,0,100,2,48,0,colegio_miraflores
135,11,4,0,135,1,14,0,colegio_miraflores
88,25,37,0,88,7,55,0,colegio_miraflores
139,10,1,0,139,2,9,0,colegio_miraflores
48,39,63,0,48,4,98,0,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
136,10,4,0,135,0,14,1,colegio_miraflores
127,9,14,0,121,1,22,6,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,7,8,0,135,1,14,0,colegio_miraflores
135,15,0,0,134,0,15,1,colegio_miraflores
58,18,74,0,57,2,90,1,colegio_miraflores
115,18,17,0,114,0,35,1,colegio_miraflores
101,7,42,0,101,1,48,0,colegio_miraflores
63,55,32,0,63,2,85,0,colegio_miraflores
136,12,2,0,136,1,13,0,colegio_miraflores
137,6,7,0,137,0,13,0,colegio_miraflores
135,14,1,0,135,0,15,0,colegio_miraflores
139,7,4,0,137,0,11,2,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
97,18,35,0,97,1,52,0,colegio_miraflores
133,7,10,0,133,0,17,0,colegio_miraflores
132,16,2,0,132,4,14,0,colegio_miraflores
140,4,6,0,140,0,10,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,3,9,0,138,0,12,0,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,5,10,0,133,0,15,2,colegio_miraflores
135,10,5,0,135,1,14,0,colegio_miraflores
136,8,6,0,135,0,14,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
137,11,2,0,136,0,13,1,colegio_miraflores
101,48,1,0,101,4,45,0,colegio_miraflores
135,10,5,0,133,0,15,2,colegio_miraflores
107,22,21,0,107,0,43,0,colegio_miraflores
134,5,11,0,134,1,15,0,colegio_miraflores
135,10,5,0,135,0,15,0,colegio_miraflores
136,11,3,0,136,0,14,0,colegio_miraflores
135,5,10,0,135,0,15,0,colegio_miraflores
136,13,1,0,135,0,14,1,colegio_miraflores
137,9,4,0,137,0,13,0,colegio_miraflores
133,8,9,0,133,0,17,0,colegio_miraflores
135,5,10,0,135,0,15,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
78,15,56,1,77,5,66,2,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
137,5,8,0,137,1,12,0,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
138,4,8,0,138,1,11,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
133,5,12,0,132,0,17,1,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
102,9,39,0,101,0,48,1,colegio_miraflores
97,10,43,0,97,2,51,0,colegio_miraflores
104,19,27,0,103,1,45,1,colegio_miraflores
135,11,4,0,135,0,15,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,4,8,0,137,0,12,1,colegio_miraflores
42,21,87,0,41,2,106,1,colegio_miraflores
132,7,11,0,132,0,18,0,colegio_miraflores
135,5,10,0,135,0,15,0,colegio_miraflores
136,9,5,0,136,1,13,0,colegio_miraflores
136,10,4,0,135,0,14,1,colegio_miraflores
114,16,20,0,113,0,36,1,colegio_miraflores
140,4,6,0,140,0,10,0,colegio_miraflores
140,4,6,0,140,0,10,0,colegio_miraflores
76,52,21,1,75,3,70,2,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
136,8,6,0,136,2,12,0,colegio_miraflores
136,4,10,0,136,0,14,0,colegio_miraflores
134,6,10,0,134,0,16,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
136,10,4,0,134,0,14,2,colegio_miraflores
98,5,47,0,98,1,51,0,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
136,12,2,0,136,0,14,0,colegio_miraflores
139,4,7,0,138,0,11,1,colegio_miraflores
128,22,0,0,125,0,22,3,colegio_miraflores
63,46,41,0,62,2,85,1,colegio_miraflores
135,6,9,0,135,1,14,0,colegio_miraflores
137,12,1,0,137,1,12,0,colegio_miraflores
136,12,2,0,136,1,13,0,colegio_miraflores
139,4,7,0,139,1,10,0,colegio_miraflores
134,12,4,0,134,0,16,0,colegio_miraflores
134,10,6,0,134,2,14,0,colegio_miraflores
77,33,40,0,77,3,70,0,colegio_miraflores
86,6,58,0,81,2,62,5,colegio_miraflores
94,6,50,0,93,1,55,1,colegio_miraflores
135,5,10,0,135,1,14,0,colegio_miraflores
137,7,6,0,136,0,13,1,colegio_miraflores
135,6,9,0,135,0,15,0,colegio_miraflores
116,25,9,0,114,0,34,2,colegio_miraflores
117,20,13,0,117,0,33,0,colegio_miraflores
81,12,57,0,81,2,67,0,colegio_miraflores
139,3,8,0,139,0,11,0,colegio_miraflores
102,13,35,0,102,1,47,0,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
101,8,41,0,100,0,49,1,colegio_miraflores
138,12,0,0,138,2,10,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
133,9,8,0,131,0,17,2,colegio_miraflores
134,12,4,0,133,1,15,1,colegio_miraflores
130,17,3,0,130,1,19,0,colegio_miraflores
135,9,6,0,135,1,14,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
132,5,13,0,131,0,18,1,colegio_miraflores
140,4,6,0,139,0,10,1,colegio_miraflores
135,10,5,0,133,0,15,2,colegio_miraflores
135,11,4,0,135,1,14,0,colegio_miraflores
136,6,8,0,136,1,13,0,colegio_miraflores
137,4,9,0,136,0,13,1,colegio_miraflores
132,13,5,0,132,2,16,0,colegio_miraflores
135,6,9,0,134,0,15,1,colegio_miraflores
136,4,10,0,136,0,14,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
92,9,49,0,90,0,58,2,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
132,15,3,0,132,0,18,0,colegio_miraflores
135,8,7,0,133,1,14,2,colegio_miraflores
104,12,34,0,104,1,45,0,colegio_miraflores
129,6,15,0,129,2,19,0,colegio_miraflores
133,5,12,0,133,1,16,0,colegio_miraflores
139,4,7,0,138,0,11,1,colegio_miraflores
140,4,6,0,140,0,10,0,colegio_miraflores
139,4,7,0,138,0,11,1,colegio_miraflores
140,4,6,0,140,0,10,0,colegio_miraflores
107,7,36,0,107,2,41,0,colegio_miraflores
140,3,7,0,139,0,10,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,12,3,0,135,1,14,0,colegio_miraflores
136,8,6,0,136,1,13,0,colegio_miraflores
134,11,5,0,134,1,15,0,colegio_miraflores
67,9,74,0,67,1,82,0,colegio_miraflores
126,7,17,0,125,0,24,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
0,1,149,0,0,0,150,0,colegio_miraflores
139,5,6,0,139,2,9,0,colegio_miraflores
136,11,3,0,136,1,13,0,colegio_miraflores
119,16,15,0,118,1,30,1,colegio_miraflores
140,4,6,0,140,0,10,0,colegio_miraflores
136,5,9,0,135,0,14,1,colegio_miraflores
118,16,16,0,118,3,29,0,colegio_miraflores
133,14,3,0,133,0,17,0,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
139,11,0,0,139,2,9,0,colegio_miraflores
137,5,8,0,136,0,13,1,colegio_miraflores
117,17,16,0,117,0,33,0,colegio_miraflores
137,10,3,0,137,0,13,0,colegio_miraflores
135,5,10,0,135,0,15,0,colegio_miraflores
141,4,5,0,141,1,8,0,colegio_miraflores
60,65,25,0,60,1,89,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
89,10,51,0,88,0,61,1,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
135,13,2,0,134,0,15,1,colegio_miraflores
134,14,2,0,133,0,16,1,colegio_miraflores
136,7,7,0,136,1,13,0,colegio_miraflores
130,7,13,0,130,0,20,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
131,11,8,0,130,0,19,1,colegio_miraflores
137,5,8,0,137,0,13,0,colegio_miraflores
94,14,42,0,94,2,54,0,colegio_miraflores
135,11,4,0,135,1,14,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
138,5,7,0,138,0,12,0,colegio_miraflores
135,14,1,0,135,0,15,0,colegio_miraflores
137,4,9,0,137,0,13,0,colegio_miraflores
62,13,75,0,62,3,85,0,colegio_miraflores
104,12,34,0,104,2,44,0,colegio_miraflores
106,11,33,0,105,0,44,1,colegio_miraflores
107,13,30,0,106,2,41,1,colegio_miraflores
136,9,5,0,136,0,14,0,colegio_miraflores
108,12,30,0,108,0,42,0,colegio_miraflores
132,13,5,0,131,3,15,1,colegio_miraflores
137,10,3,0,136,0,13,1,colegio_miraflores
136,10,4,0,135,0,14,1,colegio_miraflores
137,9,4,0,136,1,12,1,colegio_miraflores
138,4,8,0,137,0,12,1,colegio_miraflores
117,17,16,0,113,0,33,4,colegio_miraflores
135,8,7,0,135,0,15,0,colegio_miraflores
122,27,1,0,119,0,28,3,colegio_miraflores
136,14,0,0,136,2,12,0,colegio_miraflores
136,13,1,0,135,1,13,1,colegio_miraflores
89,8,53,0,88,0,61,1,colegio_miraflores
138,12,0,0,137,0,12,1,colegio_miraflores
137,12,1,0,136,0,13,1,colegio_miraflores
137,11,2,0,137,0,13,0,colegio_miraflores
138,9,3,0,138,0,12,0,colegio_miraflores
135,5,10,0,135,1,14,0,colegio_miraflores
138,5,7,0,138,1,11,0,colegio_miraflores
137,4,9,0,136,0,13,1,colegio_miraflores
100,25,24,1,95,1,48,6,colegio_miraflores
85,9,56,0,85,0,65,0,colegio_miraflores
134,6,10,0,134,0,16,0,colegio_miraflores
137,9,4,0,137,0,13,0,colegio_miraflores
48,82,20,0,48,0,102,0,colegio_miraflores
132,11,7,0,131,1,17,1,colegio_miraflores
136,5,9,0,136,0,14,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
97,22,31,0,97,3,50,0,colegio_miraflores
137,13,0,0,137,2,11,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
134,5,11,0,134,1,15,0,colegio_miraflores
138,4,8,0,138,0,12,0,colegio_miraflores
137,5,8,0,137,0,13,0,colegio_miraflores
47,22,81,0,45,0,103,2,colegio_miraflores
44,14,92,0,43,0,106,1,colegio_miraflores
137,3,10,0,137,0,13,0,colegio_miraflores
139,4,7,0,139,0,11,0,colegio_miraflores
138,12,0,0,137,0,12,1,colegio_miraflores
138,5,7,0,138,1,11,0,colegio_miraflores
137,11,2,0,136,0,13,1,colegio_miraflores
113,11,26,0,112,0,37,1,colegio_miraflores
137,9,4,0,137,1,12,0,colegio_miraflores
137,8,5,0,135,1,12,2,colegio_miraflores
135,8,7,0,135,0,15,0,colegio_miraflores
137,9,4,0,137,1,12,0,colegio_miraflores
136,4,10,0,136,0,14,0,colegio_miraflores
135,11,4,0,133,0,15,2,colegio_miraflores
110,10,30,0,110,0,40,0,colegio_miraflores
150,0,0,0,150,0,0,0,colegio_miraflores
137,3,10,0,136,0,13,1,colegio_miraflores
95,8,47,0,95,1,54,0,colegio_miraflores
46,19,85,0,46,2,102,0,colegio_miraflores
136,12,2,0,136,0,14,0,colegio_miraflores
136,7,7,0,136,0,14,0,colegio_miraflores
94,47,9,0,94,4,52,0,colegio_miraflores
131,7,12,0,131,1,18,0,colegio_miraflores
135,12,3,0,133,0,15,2,colegio_miraflores
123,15,12,0,123,2,25,0,colegio_miraflores
138,3,9,0,138,0,12,0,colegio_miraflores
76,21,53,0,74,2,72,2,colegio_miraflores
144,6,0,0,142,0,6,2,colegio_miraflores
132,13,5,0,129,0,18,3,colegio_miraflores
137,5,8,0,137,0,13,0,colegio_miraflores
136,4,10,0,136,0,14,0,colegio_miraflores
135,5,10,0,134,0,15,1,colegio_miraflores
105,11,34,0,105,3,42,0,colegio_miraflores
136,4,10,0,136,0,14,0,colegio_miraflores
130,13,7,0,130,0,20,0,colegio_miraflores
81,11,58,0,81,2,67,0,colegio_miraflores
134,12,4,0,134,1,15,0,colegio_miraflores
136,8,6,0,134,0,14,2,colegio_miraflores
135,11,4,0,135,1,14,0,colegio_miraflores
135,11,4,0,135,0,15,0,colegio_miraflores
135,13,2,0,133,0,15,2,colegio_miraflores
141,4,5,0,140,1,8,1,parque_el_prado
142,2,6,0,142,0,8,0,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
137,10,3,0,137,2,11,0,parque_el_prado
140,2,8,0,140,0,10,0,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
127,16,7,0,126,7,16,1,parque_el_prado
135,3,12,0,135,0,15,0,parque_el_prado
142,2,6,0,142,1,7,0,parque_el_prado
139,5,6,0,139,1,10,0,parque_el_prado
72,16,62,0,72,5,73,0,parque_el_prado
56,21,72,1,54,12,81,3,parque_el_prado
141,2,6,1,141,1,7,1,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
139,3,8,0,138,0,11,1,parque_el_prado
136,12,2,0,133,2,12,3,parque_el_prado
67,18,65,0,66,4,79,1,parque_el_prado
140,1,9,0,139,0,10,1,parque_el_prado
10,59,81,0,8,11,129,2,parque_el_prado
139,5,6,0,138,1,10,1,parque_el_prado
136,6,8,0,134,1,13,2,parque_el_prado
140,3,7,0,139,1,9,1,parque_el_prado
115,27,7,1,112,12,22,4,parque_el_prado
102,14,34,0,99,6,42,3,parque_el_prado
140,3,7,0,139,1,9,1,parque_el_prado
149,0,0,1,147,0,0,3,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
122,9,19,0,122,1,27,0,parque_el_prado
53,56,40,1,50,6,90,4,parque_el_prado
115,17,18,0,113,10,25,2,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
137,8,5,0,134,2,11,3,parque_el_prado
140,3,6,1,139,0,9,2,parque_el_prado
141,4,5,0,139,2,7,2,parque_el_prado
141,6,3,0,141,2,7,0,parque_el_prado
139,4,7,0,139,2,9,0,parque_el_prado
138,7,4,1,136,1,10,3,parque_el_prado
91,23,36,0,88,8,51,3,parque_el_prado
142,2,6,0,142,0,8,0,parque_el_prado
150,0,0,0,148,0,0,2,parque_el_prado
132,12,6,0,131,4,14,1,parque_el_prado
99,22,29,0,98,2,49,1,parque_el_prado
141,5,4,0,140,3,6,1,parque_el_prado
63,34,53,0,62,6,81,1,parque_el_prado
55,21,74,0,48,6,89,7,parque_el_prado
101,15,34,0,100,1,48,1,parque_el_prado
134,9,7,0,134,0,16,0,parque_el_prado
137,10,3,0,136,4,9,1,parque_el_prado
140,5,5,0,139,3,7,1,parque_el_prado
131,14,5,0,130,7,12,1,parque_el_prado
99,34,17,0,90,5,46,9,parque_el_prado
136,6,7,1,134,3,10,3,parque_el_prado
136,11,3,0,136,1,13,0,parque_el_prado
143,2,5,0,143,1,6,0,parque_el_prado
114,9,27,0,113,3,33,1,parque_el_prado
139,6,5,0,135,5,6,4,parque_el_prado
136,14,0,0,136,4,10,0,parque_el_prado
141,3,6,0,141,0,9,0,parque_el_prado
134,14,1,1,133,3,12,2,parque_el_prado
86,14,50,0,86,2,62,0,parque_el_prado
142,5,3,0,141,1,7,1,parque_el_prado
51,24,75,0,49,6,93,2,parque_el_prado
150,0,0,0,147,0,0,3,parque_el_prado
98,13,39,0,98,5,47,0,parque_el_prado
138,11,1,0,138,4,8,0,parque_el_prado
134,14,2,0,132,3,13,2,parque_el_prado
138,9,3,0,133,1,11,5,parque_el_prado
142,4,4,0,141,1,7,1,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
123,17,9,1,121,3,23,3,parque_el_prado
111,11,28,0,109,2,37,2,parque_el_prado
150,0,0,0,150,0,0,0,parque_el_prado
106,18,26,0,105,4,40,1,parque_el_prado
77,30,43,0,73,9,64,4,parque_el_prado
118,23,9,0,117,7,25,1,parque_el_prado
71,40,38,1,63,3,75,9,parque_el_prado
